model,n_boot,threshold_mean,threshold_ci_low,threshold_ci_high,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,fpr_mean,fpr_ci_low,fpr_ci_high,accuracy_mean,accuracy_ci_low,accuracy_ci_high
STIDE,1000,0.15276548429096645,0.04239124943435381,0.2909963636363637,0.9179833334420252,0.7533390410958904,0.983625768442623,0.723048404623989,0.18867924528301888,1.0,0.7561736160321332,0.3076923076923077,0.9870129870129869,0.00932718808601527,0.0012969748593778352,0.04313866646134894,0.9557933789954338,0.882420091324201,0.9965753424657534
LSTM Syscall,1000,0.9457785505827251,0.506907030423429,1.5117229387109925,0.9337549270200647,0.8387096774193549,0.9844878472222222,0.7596992033862421,0.22998394495412844,1.0,0.794127064062302,0.36486486486486486,0.9877575807650996,0.007570121401844764,0.0012952948943956994,0.017326214619823126,0.9621027397260274,0.8903824200913242,0.9965753424657534
LSTM Context,1000,1.1005091349810217,0.8474772514310073,1.4280978484587232,0.89229149735662,0.8267716535433071,0.9508296681327468,0.9746222566997204,0.8799827586206896,1.0,0.930672419286463,0.8820960698689956,0.9649879755728491,0.01771861017706273,0.007821167803188108,0.03054550415359837,0.9812808219178082,0.9691780821917808,0.9897260273972602
