model,threshold_strategy,threshold,precision,recall,f1,fpr,accuracy,tp,tn,fp,fn
STIDE,validation-normal q95,0.145818,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.007874015748031496,0.9726027397260274,96,756,6,18
LSTM Syscall,validation-normal q95,0.8952,0.9469026548672567,0.9385964912280702,0.9427312775330398,0.007874015748031496,0.9851598173515982,107,756,6,7
LSTM Context,validation-normal q95,1.06724,0.8976377952755905,1.0,0.946058091286307,0.01706036745406824,0.9851598173515982,114,749,13,0
