model,threshold_strategy,precision,recall,f1,fpr,accuracy,tp,tn,fp,fn
STIDE,original validation-based,0.9454545454545454,0.9122807017543859,0.9285714285714285,0.007874015748031496,0.9817351598173516,104,756,6,10
LSTM Syscall,original validation-based,0.9375,0.2631578947368421,0.4109589041095891,0.0026246719160104987,0.9018264840182648,30,760,2,84
LSTM Context,original validation-based,0.9174311926605505,0.8771929824561403,0.8968609865470852,0.011811023622047244,0.973744292237443,100,753,9,14
