model,threshold_strategy,threshold,precision,recall,f1,fpr,accuracy,tp,tn,fp,fn
STIDE,validation-normal q90,0.054867,0.9193548387096774,1.0,0.9579831932773109,0.013123359580052493,0.9885844748858448,114,752,10,0
LSTM Syscall,validation-normal q90,0.575347,0.9421487603305785,1.0,0.9702127659574468,0.009186351706036745,0.9920091324200914,114,755,7,0
LSTM Context,validation-normal q90,0.915675,0.8769230769230769,1.0,0.9344262295081968,0.02099737532808399,0.9817351598173516,114,746,16,0
